epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,318.06,0.75226,0.44334,0.94441,0.78811,0.61555,0.71067,0.44534,1.14504,0.59665,1.15597,0.00149702,0.00149702,0.00149702
105,320.999,0.77335,0.45913,0.96012,0.7311,0.57562,0.68227,0.4353,1.0846,0.65435,1.08067,0.00149537,0.00149537,0.00149537
106,324.076,0.74372,0.43254,0.95389,0.70801,0.63656,0.7087,0.44723,1.06699,0.65793,1.09112,0.00149372,0.00149372,0.00149372
107,327.201,0.74376,0.44812,0.95493,0.804,0.61323,0.73558,0.45971,1.14312,0.62879,1.13112,0.00149207,0.00149207,0.00149207
108,330.152,0.79574,0.48026,0.95883,0.80502,0.59725,0.71059,0.4562,1.15385,0.67849,1.13234,0.00149041,0.00149041,0.00149041
109,332.996,0.79573,0.46783,0.95143,0.73169,0.62354,0.70041,0.43321,1.15781,0.68999,1.174,0.00148876,0.00148876,0.00148876
110,336.034,0.72793,0.42424,0.9498,0.753,0.59914,0.69563,0.44599,1.02612,0.59387,1.03371,0.00148711,0.00148711,0.00148711
111,339.046,0.75298,0.43864,0.96117,0.8221,0.57499,0.70556,0.44196,1.12365,0.60706,1.11505,0.00148546,0.00148546,0.00148546
112,341.974,0.75416,0.44487,0.94943,0.73897,0.5979,0.70007,0.44609,1.00599,0.61788,1.00932,0.00148381,0.00148381,0.00148381
113,345.143,0.78784,0.45709,0.95176,0.82786,0.63728,0.73922,0.45837,1.10038,0.61484,1.09673,0.00148216,0.00148216,0.00148216
114,348.354,0.76014,0.42779,0.96606,0.78007,0.61888,0.72505,0.46519,1.08167,0.61328,1.10881,0.00148051,0.00148051,0.00148051
115,351.542,0.78689,0.43191,0.94262,0.74001,0.63681,0.72121,0.4515,1.1159,0.66757,1.08867,0.00147886,0.00147886,0.00147886
116,354.418,0.78142,0.45165,0.95082,0.78219,0.63586,0.73123,0.4651,1.02791,0.61934,1.03441,0.00147721,0.00147721,0.00147721
117,357.426,0.78698,0.44332,0.94861,0.74402,0.61953,0.71516,0.45847,1.03398,0.62372,1.0411,0.00147556,0.00147556,0.00147556
118,360.435,0.75989,0.43487,0.96241,0.73279,0.59607,0.69884,0.45061,1.02902,0.59069,1.03905,0.00147391,0.00147391,0.00147391
119,363.399,0.75034,0.4384,0.9511,0.72371,0.62418,0.70564,0.45717,1.09348,0.64351,1.09672,0.00147226,0.00147226,0.00147226
120,366.461,0.80011,0.45051,0.94522,0.73094,0.59123,0.71274,0.45284,1.13144,0.56997,1.18231,0.00147061,0.00147061,0.00147061
121,369.455,0.75781,0.43369,0.94866,0.74918,0.5974,0.68927,0.44521,1.0775,0.61609,1.07583,0.00146896,0.00146896,0.00146896
122,372.377,0.71243,0.42615,0.93729,0.74621,0.60584,0.71306,0.44668,1.14406,0.57682,1.13065,0.00146731,0.00146731,0.00146731
123,375.31,0.71219,0.4199,0.9539,0.73086,0.61206,0.7088,0.45409,1.09748,0.56951,1.07835,0.00146566,0.00146566,0.00146566
124,378.219,0.72843,0.42454,0.93328,0.71807,0.59957,0.7138,0.44734,1.09757,0.63667,1.10185,0.00146401,0.00146401,0.00146401
125,381.168,0.7089,0.40721,0.95367,0.62816,0.60756,0.66647,0.42176,1.1088,0.69324,1.11258,0.00146236,0.00146236,0.00146236
126,384.098,0.77739,0.45784,0.93825,0.67583,0.61378,0.68126,0.45003,1.02982,0.6665,1.04748,0.00146071,0.00146071,0.00146071
127,386.939,0.71398,0.40124,0.93805,0.74173,0.62687,0.73708,0.48141,1.0245,0.5964,1.0696,0.00145906,0.00145906,0.00145906
128,389.867,0.77364,0.44604,0.94859,0.6963,0.58777,0.6557,0.42495,1.07081,0.75228,1.05987,0.00145741,0.00145741,0.00145741
129,392.891,0.7475,0.42766,0.95567,0.77638,0.59224,0.70155,0.45865,1.00928,0.56983,1.03922,0.00145576,0.00145576,0.00145576
130,395.956,0.73792,0.41956,0.94496,0.7245,0.49642,0.65161,0.421,1.04636,0.7267,1.0616,0.00145411,0.00145411,0.00145411
131,398.934,0.69424,0.39864,0.94428,0.72695,0.61988,0.72568,0.46509,1.06753,0.64052,1.0621,0.00145246,0.00145246,0.00145246
132,401.927,0.76589,0.43933,0.95523,0.71149,0.6098,0.69998,0.4608,1.04644,0.61763,1.04472,0.00145081,0.00145081,0.00145081
